ratings,text
4,"No frills telco, but do give existing customers something to look forward to too. Looking to switch to giga if it doesn't improve."
5,"APPLICATION PROCESS  The application process was really smooth. I just need my phone and my bank card ready. Applied online and waited for my new sim to arrive. It actually arrived next day despite applying on a Sunday afternoon!  CONNECTION IN MRT I travelled the red line daily, played Mobile Legend while on train, didn't experience much of a connection drop as compared to my previous telco. Signal in underground is pretty strong and fast, but definitely not as good as above the ground.   PRICE As I've ported in from other telco, I get an additional 2GB/month free. For only $28/month! With no contract somemore. Many other telco are starting to offer SIM-ONLY plans, but the reason to stay with Circle is because they offer 500MB/month for every 6 months staying with them. Meaning that, in ur 2 years contract with other telco, I'll be getting additional 2GB/month free for staying with Circle. "
4,Impressive branding at the start. App has a great UI.   Signed up for my family because it was convenient to track how much data they've consumed. 
4,"I haven’t started yet, and I really would have if it wasn’t for M1’s latest 30GB plan. But, still giving a 4 stars because I love that they were one of the pioneers to shake things up for the giants to react.   Wouldn’t mind giving it a shot if I’m ever done with my M1 plan. 🤷‍♀️"
5,"2 years on Circles.Life and their Customer Support and Marketing folks are awesome. Hear us rant and give us data with surprises.  But that’s not all. They are the 1st Telco that truly listens.  2 years, 2 extra GB of data, many more years to come!"
4,Have always wanted to swap over to Circles but I'm still stuck in my contract. Love the marketing and design direction of the product. Glad to see a new telco competitor in the Singaporean market. 
5,Signed up for the $0 no contract 1 GB data plan. I am happy so far and would highly recommend to anyone who wants to cut down expenses. 
5,"Been on Circles Life for 2 Years now. I would say no much difference in term of call usage and data connectivity with compared to other telcos.  What makes it a winner is the no contract Circles Life’s base plan $28 + $20 for 20Gb(Now revised to unlimited data). This is one of the cheapest plan you can get for unlimited data usage in Singapore.  However there is a catch, it has a fair usage policy attached that will throttle your data speeds after you surpass 20GB each month.   My plan currently:  For $50 per month, this is what i get - Base data 6GB + 20GB(add on) at 4G speed, subsequently at managed speed good for basic app use and surfing net.  - Outgoing calls 100 minutes - SMS 25 - Free Incoming calls   Conclusion: If you are looking for monthly subscription with add on data plan at affordable price, Circle’s Life is the telco for you.   "
5,"Circles.Life offers great plans! Using their 1 GB $0 flat plan and it was absolutely fuss free.  Used their plan to hop over from my legacy Singtel plan and they took care of everything. Even when i was using my dads line, he just had to sign his signature on the app to transfer ownership and provide his NRIC. No need to go down to the service centre! Yesssss. "
5,"Circles life offering best plan to the customers, they allowing customer to change their data plan according to their monthly needs monthly. Again, it’s not one month or two months, it is every month!  Circles life partnering with a lot of company throughout the years, and resulting in a lot of different interesting promotion to customers. SOme examples are EZ-Link, SP Power and etc.  "
5,Next customer service ever unlike other telco sometimes Circles.Life will surprise customer with reward and stuff
4,"Pros : - no infra lightweight low cost operating model. So all service / add on via self service app. Which is must better than have to call CSO and wait for donkey years. best value for price paid and data   Cons: -no SMS when needed as some services still required. . So it becomes hidden cost. - renting infra from M1, so inherit the same problem, no data 2 to 3 stations up and down Serangoon mrt.   -. - Overall still better than old boys except the inherited problem from M1"
5,"It has been a great experience so far after switching away from Singtel (Customer Service was bad, response time was bad and I could not even understand the customer service officer)  Except for the poor coverage network while on the tunnels, it has been a great experience so far (as compared to Singtel)"
5,"I've been with Circles Life since they first came to Singapore. And I've never had an issue with them. Their customer service is not only easily reachable via their chat, they are very helpful and do their best to help you in any way possible. I've recommended them to a number of people who are now paying half of what they used to pay with their previous telcos and are currently enjoying more freedom and benefits with Circles Life's customizable and affordable plans. Looking forward to many more years with Circles Life. "
5,"An unbiased review, as I've been a Singtel, Starhub and M1 subscriber before.   Initially, when Circles came into the market, I was rather skeptical. I was on M1 then, and was rather pleased with their services compared to the other 2 Telcos stated. Didn't think or moving over to them at the time, that's until my workplace sent out an email stating that they have a CIS package.   Curious, I tried it out for a month since there's no contract. Registration was straightforward and received my SIM card from the post office. Hassle-free, base plan was decent. I was only concerned of the coverage though.   After a month using their services, I was pretty much sold to them. Their online chat made it easy to seek clarifications and doubts, and their turnaround time is way better than the 3 other Telcos. I have had to wait for more than 15 mins the least before I manage to get someone on the line,  and that is before I have to go through the frustrating process of listening to the teleprompter.   As for data usage, it is very decent, with circles will add on thru their daily polls, tie-ins with ezylink and also occasionally giving free unlimited data like the one ongoing for National Day.   All in all, what made them better is that they do listen to their user base, unlike the other 3 Telcos. Try them out for a month or two like what I did, and you be the judge. "
5,"I felt trapped initially with fixed plans, with no hope for the future of bountiful data. Until circles life came along, with customisable plans, and great data options. Life is worth living again. Along with great CS and plans, what else more can one want?"
4,"Honestly it has good customer service, decent internet speed (from M1) although there are numerous other cheaper alternatives for unlimited data elseway for cheaper prices! "
4,"Been using Circles for close to a year now.  For data hungry users who are never able to resist clicking on the clickbaity video on Facebook, or the ones who have too much time to spare but no access to WiFi, their ""$20 for 20GB"" add-on is perfect. Coupled with the $3 for unlimited data for 24h (resets at 00:00) when you run out of data again not so accidentally, you are able to get more than 25GB of data for ~$50 a month.  My only qualm with this Telco is the initial delivery of SIM cards which a lot of people, inclusive of myself, have faced. Thankfully, I was able to get the card the next working day without further problems."
4,"I've been with Circles.Life for a couple of months, and I'm happy to say that I'm pleased so far. The plan is very affordable for $28, and if you require any add-ons, you can do so with the CirclesCare app. The CirclesCare app is sleek and easy to maneuver around. One of the common complaints of Circles.Life is that its network connection can become weak when your MRT goes underground, however I've not experienced this before. Personally, one of the greatest virtue of Circles.Life is how the company always has the welfare of the public at heart. Not only is it constantly having promotions to attract potential new users to join, it is also coming up with more activities and deals for existing users too. This is something that I really appreciate of Circles.Life."
5,"When my Singtel contract was up, I was looking for a more affordable alternative that is able to fit my needs. I stumbled upon Circles.Life, and I was shook. If you're someone who is comfortable with up to 6GB per month, you would love Circles.Life too. You only need to pay $28! Furthermore, there is free bonus data too. For every 6 months you stay with Circles.Life, you will receive an additional PERMANENT 500mb of data. Also, if your friends and family members use your referral code to hop on Circles.Life, you'll get an additional PERMANENT 200mb of data. Shiok right?   If you feel that you need to boost certain features such as more capacity for data or SMS, the base plan allows for customisation too. Similar to how we choose our sides in Astons (e.g. my fav mac & cheese with potato wedges), you can pick your preferred choice such as boosting your data in blocks of 500mb, 1GB or 2GB depending on your data usage for that month.  You can easily do so with the CirclesCare app with a few thumb clicks.  From my experience, the porting is convenient and hassle free. More importantly, with no contract comes no obligations. You can simply jump to another telco if a better deal pops out, or if Circles.Life isn't up to your standard. However, all that glitters is not gold, there are users of Circles.Life who experienced a slower network especially in ulu places. Personally, I've been using Circles.Life for close to half a year, and I don't have such a problem. So you may want to give it a try if you're keen! :)"
4,"I've been on Circles for 3 months now and it has been such a refreshing experience. I really love the intuitve layout of the app and how things such as temporary suspension could be done easily. I especially love the reminders they send occassionally on the loyalty bonus, it keeps users like myself excited. But most importantly, cared about. That's why Circles wins my hearts because this is a product that is marketed and created to serve our needs. I'm really happy with all the services but since is a honest review, I shall name some bad too. Connection are bad in underground stations- There was once I lost my connection in the train from Outram to Hougang. It is only when i stepped out of the train, did I had connection. But since I stay in the West and takes the EWL, that was just one small issue. Also, the extra charge during the first month was a little shocking. Especially for me as I got the bill just 3 days after I'm with Circles, I immediately second think if I made a wrong decision haha. But nonethless, all's good, all's good! Circles please continue doing all these great stuff and I'll continue to stay loyal, get my friend onboard to earn those data heehee ❤"
4,"One of the best no contract signups that i ever had and with the data bundle, is great for mobile game players like me.  Coverage seems much better then SingTel and though at times, the network coverage and performance takes a dip in certain rural areas.  Overall - good job and keep the competition on SingTel and the rest!"
5,The best telco I’ve ever used. It’s been well over a year and I haven’t encountered any issues with circles. Very pleased. 
5,"Very affordable with a lot of data. However sometimes data connection is a bit slow. App is also very informative regarding bills, data plans & even events going on in Singapore."
5,"Been using Circle.Life since 2017 and I've gotta say, it is awesome. The payment, delivery, processing of the SIM card, and switching it on my mobile is freaking smooth. I didn't even require anyone to help me out. To add on, the connection is great! I didn't have any problem with it. And what's great about it is, I have plenty of data to use and I don't need to worry about the cost! I'm really happy that I switched to Circle.Life. Previously, I've been struggling on the amount of data that I've used and the expensive bills that pile up but now, I don't have to worry about it! I am a 100% happy being on board with Circle.Life! "
5,I was a pioneer with circlelife. Was with them since then till now. For more than 3 years I'm saving alot on my bills. Coverage was excellent throughout Singapore. What I appreciate most is when they extended the 20gb for $28 base plan for existing customers. Will not consider changing telco and will always stick with circlelife.
